id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,pub_rec_bankruptcies
790382,994507,3000,3000,3000.0,0,321,93.31,0,3,3,24000.0,1,-1,1,733,4,12.85,0,0,5,0,2999,47.6,7,3219.5390850000003,3219.54,3000.0,219.54,0.0,0.0,0.0,27.84,0.0
484041,616104,25000,25000,24477.13495,0,26,818.38,1,8,0,87000.0,0,-1,1,574,35,22.83,0,3,20,0,42752,39.2,48,29462.39703,28779.24,25000.0,4462.4,0.0,0.0,0.0,862.73,0.0
1050758,1282413,14000,14000,14000.0,0,17,456.03,1,6,3,65000.0,1,-1,2,260,10,15.38,0,0,10,0,8464,67.7,16,16416.88,16416.88,14000.0,2416.88,0.0,0.0,0.0,468.32,0.0
1001708,1227924,6000,6000,6000.0,0,174,210.83,2,14,2,24000.0,0,-1,13,596,42,5.75,0,1,6,0,2327,43.1,13,7589.592825,7589.59,6000.0,1589.59,0.0,0.0,0.0,219.36,0.0
847836,1059380,11200,11200,11200.0,0,115,382.74,2,12,3,105000.0,0,1,0,670,3,13.5,0,3,10,0,19368,74.8,29,8036.64,8036.64,5948.79,2072.37,0.0,15.48,0.0,382.74,0.0
829932,1039065,9600,9600,9575.0,0,321,298.58,0,3,3,65000.0,2,1,11,632,5,27.33,1,1,10,0,0,0.0,12,4811.29,4798.87,3737.24,737.41,0.0,336.64,3.43,298.58,0.0
580534,746277,6000,6000,5975.0,0,145,207.53,3,15,3,55000.0,1,-1,13,607,42,11.28,0,1,16,0,1026,60.4,20,7456.186809000001,7425.12,6000.0,1456.19,0.0,0.0,0.0,828.49,0.0
380278,390370,5000,5000,4950.0,0,228,181.85,5,26,3,20000.0,0,-1,11,621,42,10.32,0,1,4,0,3688,97.1,6,6018.257114999999,5958.07,5000.0,1018.26,0.0,0.0,0.0,3282.07,0.0
601897,772296,6000,5150,5100.0,0,305,157.07,0,2,3,70000.0,2,-1,2,69,33,22.73,0,1,20,0,7668,41.6,33,5655.285688,5600.38,5150.0,505.29,0.0,0.0,0.0,167.99,0.0
452494,558520,13000,13000,12913.6273,0,39,428.59,1,6,3,75000.0,0,-1,2,68,33,9.81,0,3,19,0,14132,67.6,29,15286.355280000002,15183.4,13000.0,2286.36,0.0,0.0,0.0,39.44,0.0
588898,756559,5000,5000,5000.0,0,127,171.74,2,13,3,16800.0,1,-1,2,715,4,7.86,0,1,3,0,3562,93.7,10,5245.010349,5245.01,5000.0,245.01,0.0,0.0,0.0,42.89,0.0
527442,682242,8000,8000,7509.254454000001,0,315,247.53,0,2,0,54000.0,0,1,2,711,4,9.07,0,0,10,0,16310,66.7,19,8094.02,7546.48,7169.06,909.99,14.96545873,0.0,0.0,35.76,0.0
592470,760922,6300,6300,6275.0,1,40,138.53,1,8,3,57600.0,2,-1,0,80,33,3.38,1,0,6,0,6428,32.7,12,7717.839608,7687.21,6300.0,1417.84,0.0,0.0,0.0,3867.27,0.0
426985,503612,6000,6000,5950.0,0,107,204.46,2,14,0,120000.0,2,-1,2,474,14,9.74,0,2,10,0,41042,82.1,28,7375.495153,7314.03,6000.0,1360.5,15.00000002,0.0,0.0,212.35,0.0
719817,914201,10950,10950,10950.0,0,29,359.06,1,9,0,60000.0,0,-1,2,587,42,17.94,0,1,10,0,14833,56.8,24,12926.14422,12926.14,10950.0,1976.14,0.0,0.0,0.0,396.7,0.0
885035,1100621,12000,12000,12000.0,1,174,291.57,2,14,3,48000.0,2,-1,2,72,33,16.5,0,1,11,0,4830,50.8,17,17284.55998,17284.56,12000.0,5284.56,0.0,0.0,0.0,3289.2,0.0
724717,919869,12000,12000,12000.0,0,29,393.5,1,9,3,30000.0,1,-1,9,720,4,19.56,1,0,6,0,2321,39.3,8,13801.893590000001,13801.89,12000.0,1801.89,0.0,0.0,0.0,5566.97,0.0
1038322,1268228,5000,5000,5000.0,0,358,161.13,1,5,0,101000.0,0,-1,9,72,33,10.7,0,0,16,0,17643,56.4,46,5817.079412,5817.08,5000.0,802.08,15.0,0.0,0.0,5.94,0.0
1024144,1253257,3000,3000,3000.0,0,66,100.25,1,8,3,31200.0,0,-1,9,480,14,15.04,0,0,12,0,5890,27.1,17,3608.83,3608.83,3000.0,608.83,0.0,0.0,0.0,4.72,0.0
497118,637218,13000,13000,12173.306770000001,0,327,406.65,0,4,2,18000.0,0,-1,9,83,33,9.0,0,0,13,0,1882,5.6,25,14351.8436,13435.29,13000.0,1351.84,0.0,0.0,0.0,2387.53,0.0
811646,1018707,9000,9000,9000.0,0,54,298.89,1,9,3,39600.0,1,-1,2,242,27,19.03,0,1,9,0,8939,59.6,27,10699.2747,10699.27,9000.0,1699.27,0.0,0.0,0.0,2033.73,0.0
611147,769311,10000,6475,5334.007629,0,310,199.67,0,4,3,50000.0,0,-1,0,587,42,8.83,0,0,5,0,6381,26.7,26,6777.620171,5555.38,6475.0,302.62,0.0,0.0,0.0,1084.54,0.0
502793,646788,6000,6000,5928.59,0,36,197.47,1,9,3,32000.0,0,1,2,387,34,8.93,0,2,7,0,7029,57.1,10,1415.76,1403.01,862.71,320.13,0.0,232.92,2.36,197.47,0.0
879487,1094416,10000,10000,10000.0,0,46,330.76,1,7,3,66000.0,1,-1,8,697,4,2.18,0,0,3,0,5623,27.4,16,10413.768890000001,10413.77,10000.0,413.77,0.0,0.0,0.0,1764.86,0.0
585434,752191,14000,14000,13775.0,0,327,437.94,0,4,3,105000.0,0,-1,1,736,4,6.33,0,0,9,0,13307,28.8,18,15723.484219999998,15470.79,14000.0,1723.48,0.0,0.0,0.0,2603.31,0.0
1062855,1295334,14400,14400,14400.0,0,157,501.09,2,13,3,42996.0,0,-1,2,87,33,0.98,0,1,3,0,62,7.7,3,14762.61059,14762.61,14400.0,362.61,0.0,0.0,0.0,14267.16,0.0
546223,704390,20400,20400,20350.0,0,20,665.46,1,6,0,121000.0,2,-1,1,167,44,5.77,0,0,8,0,20343,64.8,24,21226.202080000003,21174.17,20400.0,826.2,0.0,0.0,0.0,17.56,0.0
546608,704836,20000,20000,19750.0,0,327,625.63,0,4,2,85000.0,2,-1,1,68,33,12.99,0,1,14,0,26359,34.1,26,22523.85985,22242.31,20000.0,2523.86,0.0,0.0,0.0,654.05,0.0
796975,1001887,12000,12000,11750.0,0,321,373.22,0,3,2,80000.0,2,-1,2,68,33,19.52,0,0,15,0,16776,28.4,31,13412.89321,13133.46,12000.0,1412.89,0.0,0.0,0.0,1852.88,0.0
851780,1063746,8150,8150,8150.0,0,190,288.51,3,17,3,35004.0,1,-1,2,479,14,5.76,0,1,4,0,6082,92.2,7,10386.146690000001,10386.15,8150.0,2236.15,0.0,0.0,0.0,302.35,0.0
667139,852922,10000,10000,9950.0,0,9,324.42,1,7,3,115000.0,0,-1,2,479,14,12.38,0,0,18,0,25355,52.1,43,11320.70407,11264.1,10000.0,1320.7,0.0,0.0,0.0,4640.59,0.0
830945,1040133,8175,8175,8150.0,0,302,248.67,0,1,3,140000.0,2,-1,1,714,4,22.55,0,0,8,0,97885,66.6,18,8933.420127,8906.1,8175.0,758.42,0.0,0.0,0.0,1473.86,0.0
807734,1014344,23200,15025,14749.73495,1,26,326.61,1,7,3,140000.0,2,-1,1,714,4,19.75,0,0,8,0,97885,66.6,18,19326.93999,18961.9,15025.0,4301.94,0.0,0.0,0.0,4644.76,0.0
1019281,1247963,7000,7000,7000.0,0,46,231.54,1,7,0,60000.0,0,-1,2,604,42,6.12,1,0,3,0,9925,43.2,8,8335.090001999999,8335.09,7000.0,1335.09,0.0,0.0,0.0,240.07,0.0
866538,1079969,16800,16800,16800.0,0,300,506.69,0,0,0,115000.0,2,-1,6,443,23,4.98,0,1,17,0,67820,34.4,33,17321.78513,17321.79,16800.0,521.79,0.0,0.0,0.0,8276.13,0.0
748704,947814,13500,13500,13475.0,1,360,286.77,1,5,0,60000.0,2,-1,0,515,24,9.24,0,0,13,0,8741,11.0,35,17206.09804,17174.23,13500.0,3706.1,0.0,0.0,0.0,286.66,0.0
666468,852074,12000,12000,12000.0,1,239,311.23,5,27,0,62000.0,2,-1,2,307,1,23.52,0,3,4,0,3962,99.0,25,18269.68,18269.68,12000.0,6269.68,0.0,0.0,0.0,3959.84,0.0
660607,844896,3500,3500,3500.0,0,316,108.54,0,3,0,75996.0,0,-1,9,707,4,15.54,0,0,12,0,41602,77.2,26,3820.8609229999997,3820.86,3500.0,320.86,0.0,0.0,0.0,1763.77,0.0
485941,619170,4000,4000,4000.0,0,149,138.59,3,16,3,45000.0,0,-1,9,474,14,1.79,0,0,4,0,1298,81.1,4,4989.353846,4989.35,4000.0,989.35,0.0,0.0,0.0,152.07,0.0
486025,619311,20500,20500,20475.0,0,98,695.45,2,12,0,101138.0,0,-1,1,444,23,18.91,0,2,14,0,19427,51.1,20,25036.82145,25006.29,20500.0,4536.82,0.0,0.0,0.0,750.52,0.0
444907,542979,10000,10000,10000.0,0,59,333.0,1,8,0,72000.0,2,-1,1,432,47,13.82,0,3,12,0,36014,66.1,26,11896.18172,11896.18,10000.0,1896.18,0.0,0.0,0.0,2579.04,0.0
429313,508617,9600,9600,9482.542269,0,24,314.06,1,5,0,154008.0,0,-1,2,308,1,8.75,0,2,19,0,33147,34.9,37,11305.770629999999,11165.32,9600.0,1705.77,0.0,0.0,0.0,343.09,0.0
426237,448040,15000,15000,11735.9858,0,97,508.84,2,13,0,90301.0,2,-1,1,444,23,3.77,0,0,12,0,24545,66.9,17,18318.17478,13902.63,15000.0,3318.17,0.0,0.0,0.0,528.66,0.0
1010624,1237445,35000,35000,34948.475230000004,1,157,837.62,2,13,0,70000.0,2,1,7,443,23,21.45,0,5,16,0,19619,40.0,40,16632.6,16567.03,7857.03,7217.5,0.0,1558.07,15.22,41.04,0.0
727518,923037,18500,18500,18475.0,1,73,417.91,2,10,0,55000.0,2,1,1,444,23,24.26,0,0,8,0,15238,76.2,23,18512.99,18488.04,11635.42,5840.59,0.0,1036.98,172.9386,417.91,0.0
577350,742441,20000,16850,15972.528,1,102,388.68,2,11,0,42000.0,2,1,2,258,10,9.89,1,0,8,0,13541,32.3,22,8549.69,7042.68,4891.18,3658.51,0.0,0.0,0.0,25.08,0.0
436953,524101,2000,2000,2000.0,0,318,62.12,0,1,0,70000.0,2,-1,9,432,47,18.31,0,1,12,0,31305,46.8,36,2236.234458,2236.23,2000.0,236.23,0.0,0.0,0.0,67.9,0.0
1033561,1263339,14000,14000,14000.0,0,184,494.21,3,15,2,70000.0,1,-1,1,720,4,12.26,0,2,5,0,18181,95.7,12,17791.3446,17791.34,14000.0,3791.34,0.0,0.0,0.0,501.23,0.0
1028147,1257732,15575,15575,15575.0,0,125,534.37,2,11,3,66000.0,2,-1,2,71,33,23.11,0,1,17,0,51377,83.9,39,16118.157780000001,16118.16,15575.0,543.16,0.0,0.0,0.0,15051.3,0.0
844310,1055225,35000,35000,26581.617619999997,0,14,1139.08,1,6,0,60000.0,2,-1,11,632,5,4.6,0,3,7,0,0,0.0,29,41006.518280000004,30012.82,35000.0,6006.52,0.0,0.0,0.0,1155.66,0.0
591733,760021,9250,9250,9250.0,1,205,230.84,4,22,3,30000.0,0,-1,1,670,3,18.84,0,0,3,0,15219,91.7,5,12156.7424,12156.74,9250.0,2906.74,0.0,0.0,0.0,3570.42,0.0
396422,436638,6800,6800,5815.0658140000005,0,78,228.61,2,11,3,20000.0,0,-1,3,58,30,14.58,0,0,10,0,7783,84.6,12,8229.796499,6922.17,6800.0,1429.8,0.0,0.0,0.0,232.17,0.0
405031,452356,4750,4725,4273.91,0,88,159.57,2,12,3,16000.0,0,-1,2,690,32,14.55,0,0,4,0,8085,93.5,19,5744.245514,5136.39,4725.0,1019.25,0.0,0.0,0.0,166.33,0.0
452649,558864,11975,11975,10950.0,0,68,400.76,1,9,3,42000.0,0,-1,13,714,4,22.74,0,1,13,0,19721,67.1,27,12681.26743,11595.82,11975.0,706.27,0.0,0.0,0.0,10681.62,0.0
864711,1077943,20000,20000,20000.0,0,312,617.46,0,2,0,178650.0,2,-1,4,696,4,8.44,0,0,11,0,3519,12.7,27,22228.18533,22228.19,20000.0,2228.19,0.0,0.0,0.0,626.79,0.0
576072,740889,7000,7000,7000.0,0,20,228.35,1,6,3,65000.0,1,-1,2,690,32,3.42,0,2,6,0,6043,69.5,15,8220.697524,8220.7,7000.0,1220.7,0.0,0.0,0.0,242.49,0.0
736535,933496,5000,5000,5000.0,1,158,119.69,3,17,3,75000.0,1,-1,2,690,32,7.34,0,2,8,0,6520,63.9,18,6841.612675,6841.61,5000.0,1841.61,0.0,0.0,0.0,1808.25,0.0
874038,1088431,6500,6500,6500.0,0,26,212.78,1,7,0,55000.0,2,-1,11,736,4,7.27,0,2,4,0,4849,88.2,16,7346.921452,7346.92,6500.0,846.92,0.0,0.0,0.0,3740.67,0.0
993927,1218731,20000,20000,20000.0,1,66,449.15,1,8,3,75000.0,2,-1,13,714,4,14.83,0,2,9,0,988,6.7,13,23280.24364,23280.24,20000.0,3280.24,0.0,0.0,0.0,2310.79,0.0
798106,1003193,15000,15000,14750.0,1,54,333.6,1,9,0,65000.0,0,-1,2,295,9,20.57,0,0,11,0,11219,50.3,23,17736.87096,17441.26,15000.0,2736.87,0.0,0.0,0.0,11070.02,0.0
552450,711854,8000,8000,7850.0,0,327,250.25,0,4,0,60000.0,0,-1,4,440,47,7.16,0,1,6,0,15155,83.3,21,9009.464925,8840.54,8000.0,1009.46,0.0,0.0,0.0,261.86,0.0
770716,972417,23200,23200,23175.0,1,175,564.06,3,16,3,75000.0,2,-1,2,724,4,15.81,0,1,11,0,19918,60.9,17,33681.87995,33645.58,23200.0,10453.68,28.2,0.0,0.0,3194.44,0.0
688513,878668,4800,4800,4800.0,1,195,118.7,4,21,3,29750.0,0,-1,2,479,14,5.49,0,1,5,0,2583,64.6,7,7121.689993999999,7121.69,4800.0,2321.69,0.0,0.0,0.0,237.09,0.0
440579,533717,12875,12875,12849.99851,0,159,448.25,3,17,3,50000.0,2,1,2,289,9,24.17,0,0,20,0,6256,71.9,43,14948.21,14919.28,11547.35,3226.54,110.20964740000002,64.11,1.47,470.66,0.0
807523,1014114,24000,18875,18600.0,1,210,474.08,3,19,0,127000.0,2,1,1,68,33,12.84,0,0,10,0,31137,84.2,32,20859.52,20554.9,12109.74,8664.4,0.0,85.38,15.36840001,474.08,0.0
657682,841098,12000,12000,12000.0,1,85,273.41,2,11,3,37000.0,1,-1,1,73,33,11.81,0,0,4,0,13315,87.6,12,15459.815819999998,15459.82,12000.0,3459.82,0.0,0.0,0.0,6485.9,0.0
626736,803115,5000,5000,5000.0,0,8,162.19,1,9,3,36000.0,2,-1,9,72,33,4.23,1,1,9,0,4830,28.6,17,5662.54394,5662.54,5000.0,662.54,0.0,0.0,0.0,302.18,0.0
979932,1203094,3600,3600,3600.0,0,339,114.32,0,4,3,31200.0,1,-1,4,72,33,6.46,0,2,11,0,3314,26.7,20,4115.179998,4115.18,3600.0,515.18,0.0,0.0,0.0,124.43,0.0
950092,1170843,12000,12000,12000.0,0,174,421.65,2,14,3,47000.0,1,-1,1,89,33,12.38,0,1,11,0,14417,80.5,14,15179.289990000001,15179.29,12000.0,3179.29,0.0,0.0,0.0,443.09,0.0
1059259,1290863,3000,3000,3000.0,0,328,93.88,0,3,3,45000.0,0,-1,2,778,0,19.39,0,0,10,0,16487,63.2,15,3379.3060950000004,3379.31,3000.0,379.31,0.0,0.0,0.0,95.96,0.0
585419,752173,6000,6000,6000.0,0,91,202.83,2,10,0,29568.0,1,-1,2,645,5,3.98,0,0,4,0,4924,94.7,9,6194.043452,6194.04,6000.0,194.04,0.0,0.0,0.0,5789.31,0.0
682486,871698,5100,5100,5100.0,0,9,165.46,1,7,3,52000.0,1,-1,1,759,36,10.41,0,0,5,0,8779,94.0,7,5956.140353,5956.14,5100.0,856.14,0.0,0.0,0.0,170.41,0.0
1029687,1259074,15000,15000,15000.0,0,125,514.64,2,11,0,31200.0,2,-1,2,173,20,5.54,0,0,5,0,2373,23.1,7,18262.98284,18262.98,15000.0,3262.98,0.0,0.0,0.0,4899.54,0.0
991963,1216397,6000,6000,6000.0,0,328,187.75,0,3,3,49000.0,0,-1,13,294,9,14.91,0,0,3,0,830,83.0,17,6733.162759999999,6733.16,6000.0,733.16,0.0,0.0,0.0,1290.74,0.0
805588,1011648,2000,2000,2000.0,0,312,61.75,0,2,3,69000.0,0,-1,2,51,30,3.2,0,0,8,0,1372,4.1,20,2219.251451,2219.25,2000.0,219.25,0.0,0.0,0.0,309.12,0.0
544081,701892,14000,14000,13725.0,1,40,307.83,1,8,3,77000.0,2,1,12,710,4,12.36,0,2,11,0,9071,20.0,38,17854.14,17502.5,13319.93,4428.42,0.0,105.79,19.0422,307.83,0.0
381219,409439,7350,7350,7325.0,0,122,251.99,2,14,2,34800.0,0,-1,3,474,14,14.28,0,2,3,0,563,80.4,4,9071.977637,9041.12,7350.0,1721.98,0.0,0.0,0.0,271.26,0.0
447858,548913,20000,20000,19602.95,0,31,656.07,1,5,3,78000.0,2,1,5,706,4,17.2,0,1,12,0,1401,9.2,24,1533.03,1506.5,470.41,185.59,0.0,877.03,8.47,656.07,0.0
514648,665257,16750,16750,16750.0,0,149,580.33,3,16,3,24000.0,1,-1,9,42,6,2.8,0,1,4,0,2823,28.5,6,20272.40279,20272.4,16750.0,3522.4,0.0,0.0,0.0,7518.71,0.0
843621,1054428,5000,5000,5000.0,0,40,164.86,1,8,0,75000.0,0,-1,2,87,33,5.02,0,1,11,0,8837,41.5,18,5654.868195,5654.87,5000.0,654.87,0.0,0.0,0.0,3026.55,0.0
523466,677279,4000,4000,3915.609318,1,327,80.88,0,4,0,28800.0,0,-1,9,156,37,7.33,1,0,21,0,2913,13.8,49,4616.089874,4504.11,4000.0,616.09,0.0,0.0,0.0,90.51,0.0
