ACRS Report Type,Route Type,Cross-Street Type,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Injury Severity,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Equipment Problems,Latitude,Longitude,Fault
1,9,0,16,2,10,1,7,8,4,5,8,12,18,9,0,0,25,0,0,2017,4,39.067875,-76.95907833,1
2,3,4,16,2,0,1,7,8,1,0,9,9,18,9,2,2,40,0,0,2011,4,39.09666167,-77.153405,0
2,0,3,7,2,0,1,7,8,1,5,1,1,18,20,0,0,40,0,0,2013,4,39.08350833,-77.078415,0
1,3,0,16,2,0,4,6,8,1,5,15,2,18,6,0,2,30,0,1,2017,4,39.10908667,-77.06872333,1
1,0,4,4,2,0,4,7,8,1,1,3,3,18,6,0,2,40,0,0,2015,4,39.05566833,-77.14931999999997,0
2,3,0,12,6,0,4,6,8,1,2,0,0,23,6,2,4,15,0,0,2011,4,39.06117833,-77.06787167,0
2,9,0,15,3,0,4,1,8,1,5,11,11,20,7,3,3,0,0,0,2010,4,39.03956167,-77.05411333,1
1,4,3,16,6,10,1,1,8,2,1,13,12,20,9,2,2,25,0,0,2008,4,39.0823785,-77.1488865,0
2,0,3,13,2,0,1,1,8,1,1,1,1,18,7,1,4,35,0,0,2011,4,39.16072667,-77.16260833,1
1,9,0,9,2,0,4,1,8,2,2,4,9,0,20,2,2,35,0,0,2007,4,39.01817,-77.01500333,0
2,0,0,7,2,10,4,6,2,1,5,8,2,18,20,2,0,25,0,0,2006,4,39.01399167,-77.00282667,0
1,3,0,9,2,0,4,1,8,1,2,9,9,18,17,1,1,40,0,0,2016,4,39.01380233,-76.97814817,0
1,0,0,7,2,0,2,1,8,0,2,12,12,18,12,1,0,30,0,1,2003,4,39.0124284,-77.08572149,0
1,3,8,4,3,0,1,1,8,2,1,12,12,18,9,2,2,50,0,0,2015,4,39.16961167,-77.26407333,0
1,0,0,4,2,0,4,1,8,1,5,1,1,18,6,2,4,35,0,1,2006,4,39.101519,-76.980297,1
2,4,4,16,6,10,2,7,8,1,3,1,1,29,9,2,2,30,0,0,2013,4,39.15065,-77.20396,0
2,0,6,15,6,10,1,7,8,1,1,12,12,18,8,1,1,35,0,0,2008,4,39.19638167,-77.26559833,1
2,0,0,9,2,0,4,1,8,2,3,8,8,18,1,0,1,10,0,0,2003,4,39.02937333,-77.04006167,1
1,3,5,12,2,0,4,1,10,1,2,4,12,18,2,1,1,40,0,0,2006,7,39.098652,-77.003171,1
2,3,4,13,6,10,4,1,8,1,1,1,1,18,9,4,4,35,0,0,2019,4,39.14586,-77.22009333,0
1,0,0,15,2,0,1,1,10,2,1,9,9,18,1,4,4,25,0,0,2020,4,39.02679348,-77.01216623,1
1,3,4,4,2,0,1,7,8,2,1,12,12,18,6,0,2,40,0,0,2014,4,39.17845333,-77.238505,1
2,0,0,14,6,10,4,1,8,1,5,13,13,26,9,2,2,25,0,0,2009,4,38.99705167,-77.02655795,0
1,0,0,16,2,0,4,7,8,2,1,12,12,18,9,4,4,45,0,1,1991,4,39.07159667,-77.01123667,1
2,0,4,14,6,10,3,7,8,1,1,1,1,18,17,0,0,40,0,0,2004,4,39.05403167,-77.13829333,1
2,4,3,16,2,0,4,1,8,1,2,12,12,18,18,0,2,30,0,0,2007,4,39.140405,-77.22304833,1
1,0,0,16,2,0,4,6,8,1,2,0,0,26,6,1,0,35,0,0,2017,4,39.16550376,-77.20452453,1
2,3,0,12,2,0,4,7,8,1,1,9,9,18,2,2,4,45,0,0,2010,4,39.0927225,-77.03151667,1
2,3,0,4,6,10,4,1,8,1,5,1,1,18,4,2,2,35,0,0,2017,4,39.04157833,-77.04876333,0
1,0,0,16,3,10,4,6,8,3,6,12,12,18,18,0,0,35,0,0,2002,4,39.05573333,-76.95732333,1
1,1,3,15,6,10,4,1,3,1,0,6,1,18,9,0,0,70,0,0,2017,4,38.99958604,-77.09809452,1
2,3,4,16,6,10,4,7,8,1,2,1,1,18,7,4,2,30,0,0,2014,4,39.12344,-77.232745,1
2,3,3,14,0,10,4,7,8,1,5,1,1,23,20,1,1,40,0,0,2013,4,39.12008,-77.03446667,0
2,4,0,16,6,0,1,1,8,1,1,12,12,18,9,1,1,50,0,0,2040,4,39.16945333,-77.26401833,0
2,3,0,15,2,0,4,1,8,1,1,12,12,18,9,2,2,35,0,0,2002,4,39.21387667,-77.24933833,1
2,3,3,14,3,0,4,2,8,1,2,1,1,29,2,0,2,35,0,0,2011,4,38.9497,-77.10139333,1
2,3,0,7,3,0,4,1,8,1,5,2,2,18,1,4,4,10,0,0,2011,4,39.09105843,-77.20262289,1
2,4,4,7,2,0,4,1,8,1,6,6,6,18,9,4,4,25,0,0,2013,4,38.98414833,-76.98581833,1
1,3,0,4,6,10,4,7,8,3,0,4,4,0,6,0,2,55,0,0,1988,4,39.181035,-77.26229000000002,1
2,8,4,14,2,10,1,6,8,1,2,6,6,21,9,1,1,25,0,0,2013,4,39.15988601,-77.21618548,1
2,3,4,5,2,0,1,6,8,1,5,1,1,18,6,1,0,45,0,0,2017,4,39.077013,-77.1394559,0
2,0,0,14,2,0,4,1,8,1,5,11,11,23,9,1,1,25,0,0,2013,4,39.012605,-76.98003167,1
1,3,8,16,2,0,4,7,8,2,1,10,9,18,6,2,4,35,0,0,2012,4,39.11743072,-77.25103006,1
2,0,0,16,2,0,4,7,8,1,2,3,3,18,6,2,4,45,0,0,1955,4,39.02232100000001,-77.16770799999998,1
1,0,3,6,2,0,4,7,8,2,1,0,0,18,0,4,1,25,0,0,2004,4,39.147995,-77.23758000000002,0
2,3,0,9,2,0,4,7,8,1,0,12,12,18,9,2,2,35,0,0,2017,4,39.05856667,-76.99801167,1
2,3,0,16,2,0,4,7,8,1,1,3,7,18,0,1,1,40,0,0,2013,0,39.06310808,-77.26149667,0
1,3,4,4,2,0,1,7,8,2,1,10,9,18,9,4,4,30,0,0,200,4,39.08324817,-77.15320267,0
2,3,0,9,2,0,1,1,10,2,5,1,1,0,21,0,0,20,0,0,2002,7,39.050101,-77.07171232,1
1,4,4,9,2,0,3,1,8,1,5,12,12,18,9,4,2,25,0,0,2016,7,39.09364695,-77.14361877,1
1,9,0,16,2,0,4,7,10,1,2,12,12,18,9,1,1,45,0,0,2012,7,39.07321444,-76.95566165,1
2,0,3,14,2,0,1,1,10,2,1,8,12,18,9,2,2,30,0,0,2003,7,38.99945483,-77.00145417,1
1,3,0,6,2,0,4,1,8,1,2,9,9,19,17,4,4,40,0,0,2010,4,39.25822167,-77.14749499999998,0
2,3,3,9,2,0,4,1,8,1,1,12,12,18,17,4,4,40,0,0,2000,4,39.05247733,-77.07594467,1
2,3,0,7,3,1,4,1,10,1,2,4,4,18,19,0,2,35,0,0,2016,4,38.99321,-77.20466473,0
2,0,0,16,3,0,4,1,8,1,5,12,12,18,4,2,2,15,0,0,2010,4,39.04502833,-77.10429167,1
1,9,0,9,9,5,4,1,8,2,1,9,3,18,20,1,1,55,0,0,2010,4,39.16883833,-77.05965,0
1,3,4,3,2,0,1,7,10,1,3,12,12,28,21,1,1,35,0,0,1972,7,39.10505743,-77.34341991,1
2,3,4,9,2,0,4,7,8,1,2,9,9,20,20,1,1,35,0,0,2004,4,39.0629321,-77.17655182,0
2,3,4,16,2,0,1,2,8,1,1,12,12,11,9,3,3,30,0,0,2012,4,39.144455,-77.20231333,0
2,3,8,16,2,0,4,7,8,1,2,12,12,18,9,1,1,35,0,0,2013,4,39.14787000000001,-77.21800667,0
1,3,0,3,6,10,2,1,8,3,1,12,12,18,9,1,1,35,0,0,2014,4,39.048985,-77.18911,0
2,3,0,17,2,0,1,6,8,1,6,12,12,18,21,4,4,25,0,0,0,7,39.0601084,-77.15803367,1
2,4,4,4,2,0,1,7,8,1,2,14,6,18,4,0,2,35,0,0,2009,4,39.05852667,-77.11878333,0
2,3,0,14,2,0,4,0,10,1,6,15,15,5,12,3,1,10,0,0,2017,7,39.10886833,-77.16177914,1
1,3,3,15,2,1,1,1,8,4,0,12,12,18,13,4,4,35,0,0,2002,4,39.11180762,-76.9534108,1
2,0,0,6,2,0,4,3,8,1,1,0,0,18,9,0,0,25,0,0,2017,4,39.16468333,-77.18129,1
2,0,0,4,2,0,4,1,8,1,1,12,12,18,6,2,2,45,0,0,2001,4,39.04219667,-77.14326,1
2,5,8,16,2,0,4,6,8,1,2,12,12,23,9,0,0,40,0,0,2013,4,39.23173667,-77.24953000000002,0
2,3,4,16,2,0,3,6,8,1,1,1,1,22,9,0,0,35,0,0,2,4,38.99250167,-76.99268833,0
2,4,4,12,2,0,1,1,8,1,5,6,6,25,9,4,4,25,0,0,1999,6,39.14074667,-77.19574167,1
2,0,6,7,2,0,1,1,8,1,5,10,10,26,9,4,4,30,0,0,2014,7,39.05380667,-77.09949499999998,0
1,3,4,7,2,2,4,1,8,1,2,1,1,18,9,0,0,35,0,0,2010,4,38.98746984,-77.08354446,0
2,3,3,14,3,0,4,7,8,1,2,2,2,18,20,1,1,35,0,0,2014,4,39.02765667,-77.07628167,0
2,3,5,7,2,2,4,1,8,1,2,1,1,27,9,2,2,35,0,0,2007,4,38.96578,-77.08816167,0
2,3,0,15,3,0,4,1,8,1,5,9,9,18,1,3,3,5,0,0,2009,4,39.030365,-77.20394333,0
1,0,3,1,6,10,1,6,8,3,3,9,9,18,9,2,2,40,0,0,2004,4,39.03900833,-77.13983833,0
2,0,3,9,2,0,4,7,8,1,5,9,9,21,18,0,2,30,0,0,2007,4,38.95875333,-77.109195,0
1,0,0,16,3,0,4,6,8,2,1,12,12,18,7,0,1,25,0,0,2009,4,39.0387725,-77.07639017,1
1,2,6,9,2,0,5,1,8,1,1,9,9,0,17,0,2,55,0,0,2011,4,39.025048,-77.108609,0
2,3,0,16,2,0,1,6,8,1,5,12,12,18,0,4,2,30,0,0,2005,4,38.98723333,-77.10707,1
1,3,3,11,2,0,4,7,8,1,5,9,9,18,7,4,4,40,0,0,2015,4,39.16323,-77.283575,0
1,0,3,12,2,0,4,7,8,1,1,12,12,18,7,2,2,35,0,0,97,4,39.147995,-77.23758000000002,1
2,7,2,14,4,10,1,1,8,1,5,6,6,18,9,1,2,45,0,0,2009,4,39.16774702,-77.23046422,0
1,3,0,9,2,0,2,1,8,1,5,12,9,15,20,2,2,35,1,0,2012,4,39.04246667,-77.08673067,0
2,6,3,7,2,0,4,7,4,1,2,3,3,19,7,1,4,35,0,0,1998,4,39.011655,-76.97863667,1
2,0,0,14,2,0,4,1,8,1,5,11,11,21,11,2,2,25,0,0,2008,4,39.031359,-77.018449,1
2,3,4,4,2,0,4,1,8,1,1,12,12,18,9,4,4,25,0,0,2005,4,38.98881054,-77.0054698,0
2,0,0,7,2,0,4,1,8,1,5,9,9,18,1,0,0,25,0,0,2001,4,39.06240667,-76.94014167,1
0,0,0,16,2,0,1,6,8,0,1,10,10,25,6,0,2,20,0,0,2014,4,39.17907,-77.15923167,1
2,3,0,7,2,0,4,1,8,1,5,9,9,19,13,1,1,20,0,0,1900,7,39.12452338,-77.23567575,1
2,2,0,9,2,0,4,1,8,1,1,12,12,0,9,4,4,30,0,0,2008,4,39.04725888,-77.04243290000002,1
2,3,0,7,2,0,4,7,8,1,1,8,11,18,9,2,2,50,0,0,2018,4,39.16629333,-77.2715,0
2,3,0,6,6,0,1,1,10,1,6,5,9,18,1,3,3,10,0,0,2003,7,39.1417649,-77.19508857,1
2,3,8,16,2,0,3,0,8,1,1,12,12,18,9,2,2,30,0,0,2013,4,39.11715667,-77.251325,1
1,3,0,10,2,0,4,1,8,3,5,9,9,18,14,1,1,30,0,0,2015,4,38.99748167,-77.109695,1
2,3,3,14,2,0,0,7,8,1,5,6,6,2,6,4,1,35,0,0,2016,4,39.041215,-77.05166,1
1,3,0,16,6,10,1,1,10,2,1,2,2,18,6,1,1,50,0,0,2014,4,39.08740333,-77.079635,1
2,0,0,7,2,0,2,1,8,1,5,2,4,18,1,0,4,25,0,0,2003,7,38.99901362,-76.98814133,1
2,3,0,9,2,0,4,1,8,1,1,12,12,18,17,2,2,40,0,0,1998,4,39.18446833,-77.239325,1
2,3,0,14,2,0,1,7,8,1,5,13,13,6,20,1,1,35,0,0,2014,7,39.03823633,-77.05265522,0
1,0,0,4,2,0,2,6,8,1,1,6,6,18,6,1,0,45,0,0,2015,4,39.13645667,-77.20555333,1
2,0,5,7,6,10,2,1,8,0,5,12,12,20,9,0,0,40,0,0,2007,4,39.18418333,-77.26342333,0
1,3,4,13,3,0,4,7,8,1,2,11,11,18,7,1,4,35,0,0,2004,4,39.14374114,-77.22362995,1
2,3,3,8,3,0,4,7,8,1,5,1,1,26,0,4,4,45,0,0,2009,4,38.97357667,-77.12239833,0
1,3,3,9,2,0,1,1,8,1,5,12,12,18,17,2,2,45,0,0,2004,4,39.163043,-77.28268147,1
2,0,0,4,2,0,4,7,8,1,1,12,12,18,15,0,0,35,0,0,2013,4,39.05331915,-77.08944306,0
2,5,5,15,11,0,1,1,10,1,1,12,12,18,21,4,4,35,0,0,2010,7,39.16263333,-77.27705167,1
2,1,6,9,2,0,4,7,8,1,1,12,12,18,9,0,0,35,0,0,2013,4,39.03618,-77.03060333,1
2,3,8,4,2,0,4,1,8,1,1,2,2,18,6,2,4,30,0,0,2996,4,39.07221333,-76.93746833,1
1,3,0,9,3,10,4,1,8,2,2,9,9,18,17,0,0,40,0,0,2016,4,39.04922,-77.07018833,0
2,3,0,7,3,0,1,1,8,1,5,12,12,18,12,1,1,10,0,1,1997,4,39.068555,-77.26359833,0
1,0,0,15,6,10,3,7,8,2,1,12,12,18,9,4,4,35,0,0,2015,4,39.07556500000001,-76.99400167,1
2,3,8,6,2,0,1,1,8,1,5,12,12,18,9,0,0,25,0,0,2011,4,39.14413708,-77.40965678,0
2,0,0,15,2,0,4,1,0,2,0,12,12,18,9,0,0,35,0,0,2010,7,39.20035,-77.19443667,1
2,3,3,14,2,6,1,6,10,1,5,1,1,18,9,0,0,35,0,0,2018,7,38.99497438,-77.03783619,1
1,3,4,7,3,0,4,7,8,2,1,6,6,18,6,4,1,30,0,0,1005,4,38.97799000000001,-77.07755,1
1,4,4,9,3,0,4,1,8,1,2,9,9,29,17,4,4,35,0,0,2016,4,39.07190833,-77.17834333,0
1,3,8,16,2,0,6,7,8,2,1,12,12,18,9,1,1,45,0,0,2014,4,39.16686,-76.94986167,0
2,3,5,9,4,0,3,5,8,1,1,12,12,18,17,0,4,40,0,0,2011,4,39.15537167,-77.26085,1
2,3,0,8,2,0,4,7,8,1,5,6,6,18,6,4,1,50,0,0,2010,6,39.09308167,-77.08003167,1
2,3,5,16,2,0,4,7,8,1,2,2,2,18,6,0,0,40,0,0,2013,4,39.05331833,-77.135735,1
1,4,5,15,2,0,4,1,10,2,1,12,12,18,0,0,0,30,0,0,2011,4,39.08786167,-77.11590667,1
2,3,0,7,2,0,4,1,8,1,2,12,12,18,7,3,3,0,0,0,2003,4,38.96359668,-77.10769415,1
2,1,0,3,2,0,4,1,8,1,1,1,12,19,5,1,1,30,0,0,2013,4,39.07764617,-76.960497,1
1,0,0,15,2,0,2,7,8,1,3,10,10,18,7,1,4,35,0,0,2004,4,39.12878333,-77.05095628,1
2,4,0,7,9,7,4,1,1,1,2,6,6,15,11,1,1,25,0,0,2000,4,39.08689833,-77.1549,1
1,0,0,7,2,0,4,1,8,2,3,13,13,29,9,2,2,10,0,0,2018,4,39.02163833,-77.11585500000002,1
2,3,0,12,2,0,4,1,8,1,5,1,1,18,2,2,2,40,0,0,1999,4,38.99708356,-76.97776258,1
2,3,6,16,2,0,1,7,8,1,1,12,12,18,9,1,1,35,0,0,2007,4,39.013775,-77.04196167,1
2,9,3,9,3,0,4,1,8,1,0,5,15,18,20,1,1,40,0,0,2009,4,39.04395278,-76.99034214,0
1,0,5,9,5,0,4,1,8,2,1,12,12,18,9,2,2,30,0,0,2002,4,39.14535333,-77.17163833,1
2,3,3,12,2,0,4,1,8,1,2,2,2,0,0,2,3,45,0,0,2003,4,39.08721167,-77.07962333,0
2,3,0,14,2,0,4,1,8,1,5,13,13,23,9,1,1,0,0,0,2011,4,39.15893667,-77.26251333,1
2,0,0,4,2,0,4,7,8,1,1,6,13,0,1,0,2,35,0,0,2014,4,39.18458833,-77.27349833,1
0,9,0,9,2,0,1,1,0,1,2,12,12,18,9,1,1,50,0,0,2009,4,39.05282667,-76.976985,1
2,0,0,4,5,4,1,7,8,1,1,10,10,18,9,1,1,45,0,0,2009,4,39.09320167,-77.07936333,1
2,0,0,16,2,0,4,7,8,1,2,12,12,18,9,4,4,30,1,0,2009,4,39.09219167,-77.13011667,0
2,9,5,9,3,10,4,7,8,1,1,12,12,18,9,1,1,50,0,0,2008,4,39.05724084,-76.9693592,1
2,3,0,11,6,0,1,1,8,1,5,12,6,18,1,3,3,0,0,0,2008,4,39.039765,-77.05307333,1
1,9,0,9,2,0,1,1,8,1,1,5,5,18,20,3,1,40,0,0,2001,4,39.01770333,-77.01502667,0
2,6,0,7,2,0,4,1,10,1,5,0,3,17,9,3,3,15,0,0,2014,4,39.04130895,-77.02711500000002,1
2,3,0,16,2,0,2,6,9,1,5,13,13,21,9,4,4,50,0,0,2010,4,39.05819,-77.27848,0
2,0,0,16,3,0,4,6,8,1,1,13,11,18,9,1,1,30,0,0,2020,4,39.30734893,-77.2438324,1
0,3,4,16,2,0,4,1,8,1,1,6,6,18,4,4,4,35,0,0,2019,4,39.03281167,-77.09472,1
1,0,8,7,2,0,1,1,8,2,5,12,5,18,18,1,1,40,0,0,2011,4,39.10397833,-77.19148667,1
2,0,0,7,3,0,3,1,8,1,0,7,10,28,20,2,2,35,0,0,2000,4,39.00987833,-77.15998833,0
2,3,0,4,2,0,3,6,8,1,1,12,12,18,9,2,2,35,0,0,2003,4,38.96832167,-77.10875333,0
2,3,0,9,2,0,1,7,8,3,5,9,9,18,0,2,2,40,0,0,2014,4,39.03747799,-77.05054164,0
1,0,0,16,7,10,4,6,8,2,1,6,6,18,16,2,2,35,0,0,2001,4,39.11652833,-77.12694499999998,1
1,3,0,16,2,0,4,1,7,3,1,12,12,18,9,0,0,5,1,0,2012,3,39.07788667,-77.14094667,0
2,3,3,4,3,0,4,7,8,1,1,6,6,18,0,2,4,45,0,0,2016,4,39.12018167,-77.074605,0
2,3,0,15,2,0,1,1,8,0,5,9,9,20,1,2,2,10,0,0,2010,4,39.07931,-77.14508667,1
1,0,0,4,5,10,1,1,8,1,1,1,1,9,9,1,1,30,0,0,2004,4,39.08983,-77.250825,1
2,3,0,7,2,0,4,1,10,1,2,9,9,18,1,2,1,15,0,0,0,7,39.11747167,-77.25192667,1
2,3,3,9,2,0,1,7,8,1,2,9,9,18,20,1,1,30,0,0,1986,4,39.08039833,-77.14436667,0
2,3,0,16,2,0,4,1,8,1,2,1,1,12,17,1,1,45,0,0,1999,4,39.17802667,-77.15099667,0
1,3,8,3,2,0,4,1,1,1,5,10,10,19,9,1,1,40,0,0,1985,4,39.126543,-77.29645500000002,1
1,3,0,9,2,0,4,1,8,2,2,12,12,18,17,4,4,15,0,0,2011,4,39.18804333,-77.12467333,1
2,3,0,7,2,0,4,1,10,1,3,9,9,18,1,3,3,15,0,0,2001,0,39.08240609,-76.94673901,1
2,0,0,3,3,10,4,1,8,1,1,1,1,18,9,1,1,35,0,0,2009,4,39.18990533,-77.21974367,0
2,3,0,9,2,0,4,1,8,1,1,12,12,0,18,0,0,35,0,0,2007,4,39.03862833,-77.05332833,1
1,3,0,14,2,0,4,0,8,1,2,1,1,0,2,1,1,50,0,0,2015,4,39.080965,-77.07984499999998,1
2,3,0,15,2,0,4,7,8,1,3,1,1,20,7,0,1,0,0,0,2014,4,39.06163333,-77.05245667,1
2,3,3,15,3,0,1,1,8,1,1,6,12,18,9,1,1,40,0,0,2009,4,39.31361833,-77.198105,1
0,9,0,15,6,10,4,1,8,2,1,6,15,2,2,2,2,45,0,0,2003,1,39.02905,-77.00780833,1
1,3,0,4,4,10,4,7,8,1,1,12,12,18,9,4,4,40,0,0,2018,3,39.14964000000001,-77.05801333,1
2,3,0,14,2,0,1,1,8,1,5,6,6,18,9,1,1,35,0,0,2004,4,39.00555333,-76.98056667,0
2,3,3,9,3,0,4,1,8,1,2,9,9,18,20,4,4,35,0,0,2009,4,39.14184333,-77.22120833,0
2,1,9,7,2,0,4,1,8,1,3,6,6,5,21,2,2,25,0,0,2015,7,39.00755456,-77.01988667,1
2,3,0,7,2,0,4,1,8,1,5,12,12,18,6,4,1,30,0,0,1999,4,39.05348,-76.96282667,1
2,3,0,9,2,0,2,1,8,1,5,12,12,18,9,4,3,45,0,0,2015,4,39.05280333,-77.139815,1
2,3,3,14,2,0,1,1,8,1,5,6,6,18,9,2,1,30,0,0,2016,4,38.97542667,-77.07716833,1
2,3,0,15,2,0,4,1,8,1,5,14,12,18,0,0,0,25,0,0,1990,4,39.046675,-77.02955667,1
2,0,3,16,2,0,4,6,8,1,2,12,12,18,0,4,4,35,0,0,2005,4,39.0339,-77.074995,1
0,0,3,16,2,0,1,7,8,1,1,12,12,18,6,0,0,35,0,0,2018,4,39.05709333,-77.07343167,1
2,3,6,4,2,0,1,0,8,1,1,14,11,18,6,1,0,45,0,0,2017,4,38.99097018,-77.15549047,1
2,0,2,14,2,0,4,7,8,1,5,6,6,18,20,0,0,30,0,0,2011,4,38.99536797,-77.02448398,0
2,2,6,15,2,0,1,1,1,1,0,12,12,18,10,1,0,55,0,0,2016,4,39.12017,-77.19602667,1
2,3,0,9,2,0,4,1,10,1,0,12,12,18,9,2,2,35,0,0,2018,7,39.03190015,-77.04842687,1
2,3,0,4,3,0,5,1,8,1,0,10,10,18,9,2,0,50,0,0,2009,4,39.07277333,-77.32035833,0
2,3,0,4,11,0,4,1,8,1,1,1,1,18,9,1,1,35,0,0,2006,4,39.1567,-77.16473833,1
2,0,0,15,2,0,4,1,10,1,1,12,12,0,9,2,2,30,0,0,2004,7,39.11259983,-76.90582433,1
1,3,0,9,6,10,4,1,8,3,2,9,9,18,20,1,1,25,0,0,2016,4,38.99316251,-77.09572176,0
2,0,0,3,2,0,2,1,10,1,6,15,15,18,21,3,0,35,0,0,0,7,39.15697833,-77.179255,1
1,3,0,1,2,0,4,6,8,2,0,12,12,18,9,4,4,50,0,0,2006,4,39.06233833,-77.28430167,0
2,3,0,5,2,0,0,1,8,1,5,6,6,18,13,3,3,15,0,0,2014,7,39.00006833,-77.033265,1
2,3,0,15,3,10,4,1,10,1,6,15,15,18,21,0,0,35,0,0,2012,7,39.028246,-77.22130716,1
2,3,3,9,2,0,4,7,8,1,5,9,9,0,20,4,4,35,0,0,2008,4,38.98632333,-77.08562333,0
2,3,0,7,2,0,4,1,8,1,5,8,8,23,1,4,4,0,0,0,2012,4,39.203005,-77.1627,1
